material_id,spacegroup_num,crystal_system_int,structural complexity per atom,structural complexity per cell,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,mean Average bond length,std_dev Average bond length,mean Average bond angle,std_dev Average bond angle,mean CN_VoronoiNN,std_dev CN_VoronoiNN,density,vpa,packing fraction,a,b,c,alpha,beta,gamma,natoms
2471,187,6,0.6666666666666666,2,2.220446049250313e-16,1.0000000000000002,0.9999999999999998,8.881784197001252e-16,4.440892098500626e-16,5.921189464667501e-16,1.9737298215558337e-16,0.8441517215586621,2.6316230359122437,4.440892098500626e-16,97.33225047687569,23.98843285592145,11.333333333333334,0.4714045207910317,2.656561671754654,64.00643499622171,0.33204633204633205,3.47017,3.47017,18.4125,90.0,90.0,119.99999999999999,3
3658,115,4,0.6666666666666666,2,1.1102230246251565e-16,1.0,0.9999999999999998,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,0.8384512069942854,2.124677218997193,3.1401849173675503e-16,103.1476907290724,22.223382502498126,9.333333333333334,0.9428090415820634,2.625450692938234,46.159212038976,0.26876876876876876,2.7576,2.7576,18.2103,90.0,90.0,90.0,3
2517,115,4,0.6666666666666666,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8423150285006136,2.1261524752208585,0.0,102.43444192353681,25.17361368673681,9.333333333333334,0.9428090415820634,3.047406529726796,41.814683622826536,0.28858024691358025,2.65469,2.65469,17.8001,90.0,90.0,90.0,3
3574,115,4,0.6666666666666666,2,2.220446049250313e-16,1.0000000000000002,0.9999999999999998,8.881784197001252e-16,4.440892098500626e-16,5.921189464667501e-16,1.9737298215558337e-16,0.8220020104105146,2.1973445541092613,4.440892098500626e-16,117.39934364423402,19.721342043197513,12.0,2.8284271247461903,0.7068086721455717,101.49133492062747,0.17350684017350684,4.09059,4.09059,18.1961,90.0,90.0,90.0,3
360,164,5,0.5,2,0.016643090466811228,1.0332861818830126,0.988904605224065,5.493334231942981e-09,4.2926364685058616e-09,3.261990159468079e-09,1.4308787488204189e-09,0.8330056071681365,2.5294081907295567,0.048609624107843814,102.87130134229442,15.446978414671253,15.0,0.0,0.8725425668280272,73.28939490298632,0.27810266406757633,4.23465,4.23824,18.8558,90.0,90.0,119.972,4
3339,129,4,0.5,2,0.028192347463851575,1.0211442605978887,0.9577114788042224,0.10788516004889503,0.10788516004889459,0.08630812803911594,0.034523251215646186,0.8105937842315388,3.4015585316697368,0.10171510434662613,94.48070308931392,33.21378235198451,10.0,2.0,2.7469825648763018,100.98235289687625,0.30153846153846153,4.6071,4.6071,19.0305,90.0,90.0,90.0,4
1362,187,6,0.5,2,2.220446049250313e-16,1.0000000000000004,1.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,0.8339205241198143,2.5033904646858622,6.280369834735101e-16,73.7298237004819,2.528840130374332e-14,10.0,0.0,5.32626928048545,41.33476361226874,0.4167062173706692,3.00372,3.00372,21.1605,90.0,90.0,119.99999999999999,4
2742,123,4,0.5714285714285714,4,0.1303260772789529,1.1580557632283428,0.740475212731401,1.0570398381755157,1.0570398381755153,0.49771005287157993,0.2500513795015935,0.8073706986920258,2.598650318406598,0.3984527680311348,99.92659377803913,32.94473399748424,14.857142857142858,1.3552618543578767,1.3114688140329767,44.60649896399766,0.37281976744186046,3.84878,3.84878,21.079,90.0,90.0,90.0,7
2871,156,5,1.0,3,0.05658774603995115,1.056587746039951,0.9434122539600488,0.2947994658907094,0.14739973294535513,0.19653297726047292,0.06551099242015763,0.8476557344366876,2.604799506262185,0.1473997329453547,95.98273342044692,26.49138053936716,11.333333333333334,0.4714045207910317,2.1016254448036435,55.65008812791741,0.32266960838389414,3.25166,3.25166,18.2325,90.0,90.0,119.99999999999999,3
1503,115,4,0.6666666666666666,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8191525228680946,2.5947154171711144,0.0,106.93330096959585,8.110426258502706,12.0,2.8284271247461903,2.515321192855499,98.15095069176935,0.2701480263157895,3.94086,3.94086,18.9598,90.0,90.0,90.0,3
