Epoch: [0][46/68]	Time 1.458 (2.420)	Data 1.429 (2.378)	Loss 0.5352 (1.6236)	MAE 0.558 (0.868)
Epoch: [0][47/68]	Time 0.042 (2.370)	Data 0.004 (2.329)	Loss 0.5361 (1.6010)	MAE 0.592 (0.862)
Epoch: [0][48/68]	Time 0.045 (2.323)	Data 0.000 (2.281)	Loss 0.7956 (1.5845)	MAE 0.642 (0.858)
Epoch: [0][49/68]	Time 0.043 (2.277)	Data 0.000 (2.235)	Loss 0.6865 (1.5666)	MAE 0.636 (0.853)
Epoch: [0][50/68]	Time 6.607 (2.362)	Data 6.579 (2.321)	Loss 0.5016 (1.5457)	MAE 0.550 (0.847)
Epoch: [0][51/68]	Time 9.572 (2.501)	Data 9.535 (2.459)	Loss 0.4077 (1.5238)	MAE 0.497 (0.841)
Epoch: [0][52/68]	Time 0.047 (2.455)	Data 0.001 (2.413)	Loss 0.6895 (1.5081)	MAE 0.608 (0.836)
Epoch: [0][53/68]	Time 0.766 (2.423)	Data 0.735 (2.382)	Loss 0.4437 (1.4884)	MAE 0.530 (0.830)
Epoch: [0][54/68]	Time 0.039 (2.380)	Data 0.000 (2.339)	Loss 0.5629 (1.4715)	MAE 0.546 (0.825)
Epoch: [0][55/68]	Time 0.042 (2.338)	Data 0.000 (2.297)	Loss 0.6164 (1.4563)	MAE 0.607 (0.821)
Epoch: [0][56/68]	Time 0.860 (2.312)	Data 0.831 (2.271)	Loss 0.4708 (1.4390)	MAE 0.512 (0.816)
Epoch: [0][57/68]	Time 0.043 (2.273)	Data 0.000 (2.232)	Loss 0.4594 (1.4221)	MAE 0.539 (0.811)
Epoch: [0][58/68]	Time 0.040 (2.235)	Data 0.001 (2.194)	Loss 0.7899 (1.4114)	MAE 0.674 (0.809)
Epoch: [0][59/68]	Time 0.040 (2.199)	Data 0.000 (2.158)	Loss 0.4041 (1.3946)	MAE 0.461 (0.803)
Epoch: [0][60/68]	Time 4.041 (2.229)	Data 4.011 (2.188)	Loss 0.6220 (1.3819)	MAE 0.610 (0.800)
Epoch: [0][61/68]	Time 5.417 (2.280)	Data 5.387 (2.240)	Loss 0.4553 (1.3670)	MAE 0.509 (0.795)
Epoch: [0][62/68]	Time 2.898 (2.290)	Data 2.869 (2.250)	Loss 0.4748 (1.3528)	MAE 0.534 (0.791)
Epoch: [0][63/68]	Time 0.086 (2.256)	Data 0.059 (2.215)	Loss 0.4182 (1.3382)	MAE 0.499 (0.787)
Epoch: [0][64/68]	Time 0.038 (2.222)	Data 0.000 (2.181)	Loss 0.5085 (1.3254)	MAE 0.545 (0.783)
Epoch: [0][65/68]	Time 0.037 (2.188)	Data 0.001 (2.148)	Loss 0.3488 (1.3106)	MAE 0.466 (0.778)
