Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
159,0.0328,0.1864,0.139,0.298
160,0.0378,0.1818,0.149,0.293
161,0.0337,0.1852,0.141,0.299
162,0.034,0.1852,0.141,0.298
163,0.0346,0.2019,0.143,0.315
164,0.0352,0.187,0.145,0.3
165,0.0321,0.1878,0.138,0.3
166,0.0324,0.1858,0.139,0.298
167,0.0324,0.1897,0.138,0.302
168,0.0326,0.1944,0.139,0.308
169,0.0336,0.1841,0.14,0.295
170,0.0327,0.1938,0.139,0.306
171,0.0336,0.1852,0.142,0.297
172,0.0323,0.1868,0.139,0.299
173,0.0327,0.1871,0.14,0.299
174,0.0357,0.1868,0.145,0.299
175,0.0326,0.1911,0.14,0.304
176,0.0329,0.1818,0.139,0.294
177,0.0313,0.1879,0.136,0.302
178,0.0319,0.1854,0.137,0.298
179,0.032,0.1837,0.137,0.295
180,0.032,0.1881,0.138,0.3
181,0.0328,0.189,0.14,0.301
182,0.0306,0.1902,0.134,0.302
183,0.0309,0.1873,0.134,0.299
184,0.0308,0.1868,0.135,0.301
185,0.0307,0.1862,0.135,0.298
186,0.0322,0.1854,0.138,0.296
187,0.0316,0.1864,0.137,0.299
188,0.0337,0.1874,0.142,0.299
189,0.0316,0.1831,0.136,0.296
190,0.0324,0.186,0.139,0.299
191,0.0301,0.1876,0.134,0.299
192,0.0295,0.1855,0.132,0.297
193,0.0312,0.1844,0.137,0.296
194,0.0302,0.1898,0.134,0.304
195,0.031,0.1875,0.136,0.3
196,0.0299,0.1907,0.133,0.304
197,0.0297,0.1935,0.133,0.308
198,0.0319,0.1849,0.138,0.298
199,0.0319,0.1852,0.138,0.298
200,0.0321,0.1848,0.139,0.298
201,0.0309,0.1851,0.136,0.298
202,0.0309,0.1865,0.135,0.298
203,0.031,0.1924,0.136,0.305
204,0.0305,0.1856,0.135,0.297
205,0.031,0.1846,0.136,0.297
206,0.0294,0.1876,0.132,0.3
207,0.0313,0.1857,0.136,0.297
208,0.0308,0.1868,0.135,0.298
209,0.0315,0.1877,0.137,0.3
210,0.0294,0.1857,0.132,0.298
211,0.0293,0.1854,0.132,0.298
212,0.0298,0.1854,0.133,0.298
213,0.0317,0.1899,0.137,0.303
214,0.0278,0.1856,0.127,0.297
215,0.0285,0.189,0.13,0.302
216,0.0298,0.1864,0.133,0.298
217,0.029,0.1857,0.131,0.298
218,0.0289,0.1905,0.131,0.304
219,0.0294,0.1992,0.133,0.312
220,0.0287,0.1863,0.13,0.297
221,0.031,0.1843,0.136,0.296
222,0.0292,0.1881,0.132,0.299
223,0.0288,0.1859,0.131,0.298
224,0.0291,0.1839,0.132,0.296
225,0.0283,0.1857,0.129,0.297
226,0.0298,0.1867,0.134,0.299
227,0.0302,0.1904,0.133,0.302
228,0.0282,0.1853,0.13,0.296
229,0.0288,0.191,0.131,0.305
230,0.0278,0.1866,0.128,0.299
231,0.0299,0.1858,0.134,0.298
232,0.0285,0.1879,0.129,0.299
233,0.0292,0.1879,0.132,0.302
234,0.027,0.1883,0.127,0.3
235,0.0267,0.1868,0.126,0.299
236,0.0265,0.1869,0.126,0.297
237,0.0288,0.1885,0.131,0.299
238,0.0263,0.1907,0.125,0.302
239,0.0295,0.1883,0.133,0.3
240,0.0265,0.1882,0.126,0.301
241,0.0286,0.1891,0.13,0.302
242,0.0263,0.1895,0.125,0.302
