Epoch: [0][46/68]	Time 0.045 (2.530)	Data 0.001 (2.486)	Loss 0.7845 (1.4511)	MAE 0.705 (0.931)
Epoch: [0][47/68]	Time 0.041 (2.478)	Data 0.004 (2.434)	Loss 0.6219 (1.4338)	MAE 0.661 (0.926)
Epoch: [0][48/68]	Time 1.021 (2.448)	Data 0.989 (2.405)	Loss 0.5976 (1.4167)	MAE 0.571 (0.918)
Epoch: [0][49/68]	Time 0.043 (2.400)	Data 0.000 (2.357)	Loss 0.5775 (1.4000)	MAE 0.593 (0.912)
Epoch: [0][50/68]	Time 11.328 (2.575)	Data 11.285 (2.532)	Loss 0.5808 (1.3839)	MAE 0.632 (0.906)
Epoch: [0][51/68]	Time 3.019 (2.584)	Data 2.993 (2.541)	Loss 0.5742 (1.3683)	MAE 0.603 (0.900)
Epoch: [0][52/68]	Time 0.040 (2.536)	Data 0.000 (2.493)	Loss 0.5629 (1.3531)	MAE 0.606 (0.895)
Epoch: [0][53/68]	Time 0.037 (2.489)	Data 0.000 (2.447)	Loss 0.5833 (1.3389)	MAE 0.595 (0.889)
Epoch: [0][54/68]	Time 0.037 (2.445)	Data 0.000 (2.402)	Loss 0.5302 (1.3242)	MAE 0.612 (0.884)
Epoch: [0][55/68]	Time 0.037 (2.402)	Data 0.000 (2.359)	Loss 0.5990 (1.3112)	MAE 0.629 (0.880)
Epoch: [0][56/68]	Time 0.039 (2.360)	Data 0.000 (2.318)	Loss 0.4528 (1.2962)	MAE 0.546 (0.874)
Epoch: [0][57/68]	Time 0.043 (2.320)	Data 0.000 (2.278)	Loss 0.5664 (1.2836)	MAE 0.590 (0.869)
Epoch: [0][58/68]	Time 0.042 (2.282)	Data 0.000 (2.239)	Loss 0.5122 (1.2705)	MAE 0.591 (0.864)
Epoch: [0][59/68]	Time 0.037 (2.244)	Data 0.000 (2.202)	Loss 0.5659 (1.2588)	MAE 0.593 (0.860)
Epoch: [0][60/68]	Time 10.898 (2.386)	Data 10.866 (2.344)	Loss 0.3885 (1.2445)	MAE 0.544 (0.855)
Epoch: [0][61/68]	Time 4.055 (2.413)	Data 4.029 (2.371)	Loss 0.4555 (1.2318)	MAE 0.599 (0.850)
Epoch: [0][62/68]	Time 0.037 (2.375)	Data 0.000 (2.334)	Loss 0.5285 (1.2206)	MAE 0.610 (0.847)
Epoch: [0][63/68]	Time 0.038 (2.339)	Data 0.000 (2.297)	Loss 0.7619 (1.2134)	MAE 0.712 (0.845)
Epoch: [0][64/68]	Time 0.036 (2.303)	Data 0.000 (2.262)	Loss 0.4916 (1.2023)	MAE 0.577 (0.840)
Epoch: [0][65/68]	Time 0.035 (2.269)	Data 0.000 (2.227)	Loss 0.3791 (1.1899)	MAE 0.517 (0.836)
Epoch: [0][66/68]	Time 0.035 (2.236)	Data 0.000 (2.194)	Loss 0.6449 (1.1817)	MAE 0.660 (0.833)
Epoch: [0][67/68]	Time 0.026 (2.203)	Data 0.000 (2.162)	Loss 0.5198 (1.1762)	MAE 0.617 (0.831)
Test: [0/9]	Time 22.261 (22.261)	Loss 0.7557 (0.7557)	MAE 0.702 (0.702)
Test: [1/9]	Time 0.015 (11.138)	Loss 0.5175 (0.6366)	MAE 0.552 (0.627)
Test: [2/9]	Time 0.015 (7.430)	Loss 0.5479 (0.6070)	MAE 0.614 (0.622)
Test: [3/9]	Time 0.014 (5.576)	Loss 0.5986 (0.6049)	MAE 0.614 (0.620)
Test: [4/9]	Time 0.014 (4.464)	Loss 0.5030 (0.5845)	MAE 0.598 (0.616)
Test: [5/9]	Time 0.014 (3.722)	Loss 0.5142 (0.5728)	MAE 0.594 (0.612)
Test: [6/9]	Time 0.303 (3.234)	Loss 0.5362 (0.5676)	MAE 0.597 (0.610)
Test: [7/9]	Time 0.014 (2.831)	Loss 0.5774 (0.5688)	MAE 0.638 (0.614)
Test: [8/9]	Time 0.007 (2.517)	Loss 0.5086 (0.5656)	MAE 0.527 (0.609)
 * MAE 0.609
Epoch: [1][0/68]	Time 25.011 (25.011)	Data 24.963 (24.963)	Loss 0.4615 (0.4615)	MAE 0.535 (0.535)
Epoch: [1][1/68]	Time 3.151 (14.081)	Data 3.120 (14.041)	Loss 0.7472 (0.6044)	MAE 0.636 (0.585)
Epoch: [1][2/68]	Time 3.807 (10.656)	Data 3.762 (10.615)	Loss 0.5630 (0.5906)	MAE 0.597 (0.589)
Epoch: [1][3/68]	Time 1.285 (8.314)	Data 1.249 (8.273)	Loss 0.5833 (0.5888)	MAE 0.646 (0.604)
Epoch: [1][4/68]	Time 1.831 (7.017)	Data 1.799 (6.978)	Loss 0.4716 (0.5653)	MAE 0.528 (0.588)
Epoch: [1][5/68]	Time 0.041 (5.854)	Data 0.001 (5.815)	Loss 0.3733 (0.5333)	MAE 0.514 (0.576)
Epoch: [1][6/68]	Time 0.045 (5.025)	Data 0.001 (4.985)	Loss 0.4587 (0.5227)	MAE 0.548 (0.572)
Epoch: [1][7/68]	Time 1.756 (4.616)	Data 1.722 (4.577)	Loss 0.3985 (0.5071)	MAE 0.540 (0.568)
Epoch: [1][8/68]	Time 0.040 (4.108)	Data 0.001 (4.068)	Loss 0.4543 (0.5013)	MAE 0.513 (0.562)
Epoch: [1][9/68]	Time 0.043 (3.701)	Data 0.001 (3.662)	Loss 0.3972 (0.4909)	MAE 0.537 (0.559)
Epoch: [1][10/68]	Time 13.213 (4.566)	Data 13.175 (4.527)	Loss 0.4224 (0.4846)	MAE 0.501 (0.554)
Epoch: [1][11/68]	Time 4.927 (4.596)	Data 4.882 (4.556)	Loss 0.6431 (0.4978)	MAE 0.661 (0.563)
Epoch: [1][12/68]	Time 0.049 (4.246)	Data 0.001 (4.206)	Loss 0.5140 (0.4991)	MAE 0.569 (0.563)
Epoch: [1][13/68]	Time 0.045 (3.946)	Data 0.001 (3.905)	Loss 0.3764 (0.4903)	MAE 0.527 (0.561)
Epoch: [1][14/68]	Time 0.042 (3.686)	Data 0.001 (3.645)	Loss 0.4594 (0.4883)	MAE 0.545 (0.560)
Epoch: [1][15/68]	Time 0.049 (3.458)	Data 0.001 (3.417)	Loss 0.5155 (0.4900)	MAE 0.546 (0.559)
Epoch: [1][16/68]	Time 0.047 (3.258)	Data 0.001 (3.216)	Loss 0.4257 (0.4862)	MAE 0.541 (0.558)
Epoch: [1][17/68]	Time 0.046 (3.079)	Data 0.001 (3.038)	Loss 0.3499 (0.4786)	MAE 0.479 (0.553)
Epoch: [1][18/68]	Time 2.971 (3.074)	Data 2.931 (3.032)	Loss 0.4409 (0.4766)	MAE 0.532 (0.552)
Epoch: [1][19/68]	Time 0.044 (2.922)	Data 0.001 (2.881)	Loss 0.3601 (0.4708)	MAE 0.507 (0.550)
Epoch: [1][20/68]	Time 8.018 (3.165)	Data 7.983 (3.124)	Loss 0.3073 (0.4630)	MAE 0.477 (0.547)
Epoch: [1][21/68]	Time 7.268 (3.351)	Data 7.237 (3.311)	Loss 0.5402 (0.4665)	MAE 0.557 (0.547)
Epoch: [1][22/68]	Time 4.726 (3.411)	Data 4.695 (3.371)	Loss 0.4867 (0.4674)	MAE 0.584 (0.549)
Epoch: [1][23/68]	Time 0.048 (3.271)	Data 0.001 (3.230)	Loss 0.4609 (0.4671)	MAE 0.571 (0.550)
Epoch: [1][24/68]	Time 0.046 (3.142)	Data 0.001 (3.101)	Loss 0.4721 (0.4673)	MAE 0.579 (0.551)
Epoch: [1][25/68]	Time 0.041 (3.023)	Data 0.001 (2.982)	Loss 0.3997 (0.4647)	MAE 0.500 (0.549)
Epoch: [1][26/68]	Time 0.048 (2.913)	Data 0.001 (2.871)	Loss 0.5226 (0.4669)	MAE 0.615 (0.551)
Epoch: [1][27/68]	Time 0.044 (2.810)	Data 0.001 (2.769)	Loss 0.4623 (0.4667)	MAE 0.560 (0.552)
Epoch: [1][28/68]	Time 0.044 (2.715)	Data 0.001 (2.673)	Loss 0.3824 (0.4638)	MAE 0.460 (0.548)
