material_id,spacegroup_num,crystal_system_int,structural complexity per atom,structural complexity per cell,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,mean Average bond length,std_dev Average bond length,mean Average bond angle,std_dev Average bond angle,mean CN_VoronoiNN,std_dev CN_VoronoiNN,density,vpa,packing fraction,a,b,c,alpha,beta,gamma,natoms
3598,-1.5891622976307997,-1.5384534963470862,-1.2794712732303837,-0.5896908490178571,-0.4758605741149524,-0.4959226631432159,0.41025442704120463,-0.5677135212859464,-0.538994687540997,-0.5518491572714801,-0.48036276163551306,0.03057163491078867,-0.10132531135230453,-0.5341845691331013,0.9053852492952383,0.6111245172482256,0.726747971436562,1.398659595653326,-0.43537370245951695,0.6243316136299732,-0.7501985613412774,1.1146759097125525,0.7759022907779524,-0.8336744876094172,0.0,0.0,-1.064723299044281,0.040718166160113485
2034,0.20218956696553284,-0.10282313141351142,-0.3813205537792824,-0.5896908490178571,-0.5448797597639388,-0.5514447895233806,0.5087630080841757,-0.6060624276143989,-0.5779580152019242,-0.6018618814775012,-0.5285949946657237,-1.6951023578255136,-0.4903359900995104,-0.6323736013433319,-0.6493587386686203,-0.5651327659787394,-1.258717955734486,-0.04977260246541206,-0.9864082061428981,1.1734464294438607,-1.734079909915798,-0.49342209550624844,-0.4801100504194657,2.0647489450215617,0.0,0.0,-1.064723299044281,-0.5258440360540205
486,0.7473836127122427,0.614992051053276,0.5168301656718185,-0.5896908490178571,-0.5448797597639401,-0.5514447895233829,0.508763008084179,-0.6060624276144001,-0.5779580152019268,-0.6018618814775003,-0.5285949946657259,0.7020278631785851,0.9104382240025194,-0.6323736013433334,0.24344331000593109,0.5978108072989831,-0.26598499214896204,1.398659595653326,-0.8755027726621315,0.5838747460561661,-0.7596341508083889,-0.06540930028505097,-0.1710983051585494,-0.5957058877562658,0.0,0.0,0.908046282582183,-0.8091251371610876
3534,0.7473836127122427,0.614992051053276,0.5168301656718185,-0.5896908490178571,-0.5448797597639401,-0.5514447895233829,0.508763008084179,-0.6060624276144025,-0.5779580152019268,-0.6018618814775052,-0.5285949946657259,0.8962987490540377,-0.07154292740113423,-0.6323736013433334,0.2570139835360433,0.6014967469882797,-0.26598499214896204,1.398659595653326,0.0830071282269318,-0.0992621311678798,-0.4291694789897113,-0.4657447372159764,-0.4601278702487336,-0.6628779893921954,0.0,0.0,0.908046282582183,-0.8091251371610876
3712,0.7473836127122427,0.614992051053276,0.15756987789137814,-0.029028382159810115,-0.37777941218886274,-0.41407249268440965,0.41293351283371765,-0.45108751873511527,-0.42085503807699753,-0.45041563834141335,-0.44088314091175995,0.7928292597710455,-1.0060826816433472,-0.47244973914031196,0.3417405674847783,0.8139833739645594,0.32965478600235204,0.7171704679154639,0.43109122638930747,-1.238892206422569,0.8076457738228429,-0.9674939288923179,-0.8223749692473328,-0.3037358417973696,0.0,0.0,0.9073886927216406,-0.24256293494695352
1755,1.13680793110275,1.3328072335200634,-1.7285466329559342,-0.5896908490178571,-0.5445177044469705,-0.5511471459562691,0.5085563087138568,-0.6060624276143989,-0.5779580152019242,-0.6018618814775013,-0.5285949946657238,-0.4894693154123662,1.826288189961079,-0.6318612726974796,-0.027943735137730047,-0.1130356293476193,0.8508395918847526,-0.5024959402803519,-0.19222178051098407,1.8783493123047454,-0.8073479828664774,2.930043469579884,1.991524164537112,-0.3797528562926906,0.0,0.0,0.908046282582183,0.6072803683742475
1485,1.1056539856315093,1.3328072335200634,0.5168301656718185,-0.5896908490178571,-0.5448797597639401,-0.5514447895233876,0.5087630080841757,-0.6060624276144025,-0.5779580152019268,-0.6018618814775052,-0.5285949946657259,1.0231055480956637,-1.0400137679930523,-0.6323736013433334,-0.22534534645166734,-0.3411930760909096,-0.5968959800108031,-1.037031472199477,0.05862163143815979,-0.7415284848543741,-0.8173549251505664,-0.9735279657586313,-0.826731353644824,-0.5939474557762673,0.0,0.0,0.908046282582183,-0.8091251371610876
2761,0.48257507620669793,0.614992051053276,-1.2794712732303837,-0.029028382159810115,-0.16558325246004285,-0.23835308410027026,0.28842071209441134,-0.22316428110410225,-0.18894238119170798,-0.3721288065043464,-0.2362974760272429,0.1166384365876208,-0.4738749529478626,-0.23671759976691253,0.887457003701422,0.21534617912539156,0.6164443088159496,1.4947047020560233,-0.6235730338309774,-0.06432967139235923,-0.34362375691411695,1.6392177631683404,1.0637152079733416,-0.6076983938598528,0.0,0.0,0.9055474411121239,0.8905614694813145
181,0.7473836127122427,0.614992051053276,-0.08193698062891526,1.0922965515562837,-0.046582743057526035,-0.2164140936826079,-0.060372559251053004,0.06691470786215052,0.10564625841443112,0.00615554146926696,0.04672553183085507,-0.026101109286041757,-0.5331118937349236,-0.03578372944005606,0.4288274131654387,0.857160654739447,-0.04537766690773437,1.0385912632184953,0.9942922946968417,-1.402310939507606,2.6103339185902388,-0.7833587318045958,-0.6894351617197708,0.6802475255700042,0.0,0.0,0.908046282582183,0.8905614694813145
1068,-1.6358932158376607,-1.5384534963470862,-0.7662422906868976,1.6529590184143308,0.39559460627102766,1.172010112294796,-1.3077791190163994,0.7845547019941312,0.8349394063768288,0.5061913209077857,0.3789847056979621,-3.294272033468285,1.8968378887539037,1.2243235570139435,0.04117095227351975,0.8775190493664244,0.8685669662344945,0.19134061282975445,-1.4481041187208088,3.4784193865150588,-1.694200631906373,2.719201640853484,2.824905545782287,2.4463814376405635,0.0,0.0,-1.064723299044281,2.3069669750166497
225,0.20218956696553284,-0.10282313141351142,-0.3813205537792824,-0.5896908490178571,-0.5447609782894413,-0.5513471399650984,0.5086951950875604,-0.605894063651756,-0.5778724844675337,-0.6016642668096405,-0.5285187628918169,-0.40310258406534777,2.141246737657285,-0.6321994692914764,0.47873196344844177,0.0323211946604095,-1.258717955734486,-0.04977260246541206,-0.6749633962493411,3.200499542881975,-1.6887352091274994,1.44109633648444,0.9165512727540995,-0.42976266180383876,0.0,0.0,-1.064723299044281,-0.5258440360540205
