Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
159,0.0452,0.1507,0.172,0.288
160,0.0442,0.1551,0.17,0.292
161,0.0459,0.1581,0.173,0.297
162,0.0444,0.1552,0.172,0.293
163,0.0443,0.1566,0.172,0.294
164,0.0435,0.1583,0.17,0.295
165,0.044,0.1541,0.17,0.29
166,0.0446,0.1598,0.172,0.297
167,0.0422,0.1602,0.166,0.298
168,0.0414,0.1538,0.166,0.291
169,0.0465,0.1571,0.176,0.294
170,0.0434,0.1549,0.17,0.293
171,0.0434,0.1559,0.169,0.292
172,0.0397,0.1565,0.162,0.294
173,0.0437,0.1571,0.17,0.293
174,0.0405,0.1564,0.164,0.293
175,0.0411,0.1594,0.165,0.298
176,0.0422,0.1579,0.167,0.295
177,0.0417,0.1581,0.167,0.294
178,0.0413,0.1573,0.166,0.294
179,0.0421,0.1563,0.167,0.294
180,0.0432,0.1584,0.169,0.296
181,0.0417,0.1578,0.166,0.294
182,0.0433,0.1555,0.169,0.293
183,0.0409,0.1614,0.165,0.299
184,0.0413,0.1578,0.165,0.295
185,0.0382,0.1592,0.16,0.297
186,0.0391,0.1629,0.16,0.303
187,0.0391,0.1601,0.161,0.298
188,0.0423,0.1625,0.167,0.299
189,0.0411,0.1594,0.166,0.295
190,0.0395,0.1647,0.162,0.303
191,0.0421,0.1593,0.167,0.295
192,0.0398,0.1607,0.164,0.297
193,0.0383,0.16,0.16,0.297
194,0.0397,0.1618,0.162,0.298
195,0.0387,0.1579,0.16,0.294
196,0.0389,0.1639,0.161,0.301
197,0.0372,0.1612,0.158,0.297
198,0.0391,0.1611,0.161,0.299
199,0.0378,0.1617,0.159,0.297
200,0.0387,0.1623,0.16,0.297
201,0.0383,0.1637,0.16,0.3
202,0.0392,0.1643,0.162,0.301
203,0.0416,0.1622,0.167,0.298
204,0.0405,0.1595,0.164,0.295
205,0.0397,0.1606,0.163,0.296
206,0.0389,0.1615,0.16,0.297
207,0.0385,0.1674,0.161,0.304
208,0.0414,0.1635,0.167,0.299
209,0.0399,0.1729,0.164,0.312
210,0.0375,0.164,0.159,0.3
211,0.04,0.1621,0.165,0.298
212,0.036,0.1627,0.154,0.298
213,0.0363,0.163,0.156,0.298
214,0.0377,0.1627,0.159,0.299
215,0.0353,0.1643,0.154,0.299
216,0.0343,0.1645,0.151,0.301
217,0.0381,0.1646,0.16,0.301
218,0.0382,0.1605,0.16,0.297
219,0.0368,0.1635,0.158,0.298
220,0.0401,0.1699,0.164,0.308
221,0.0393,0.1633,0.162,0.299
222,0.0379,0.1639,0.161,0.299
223,0.0356,0.1648,0.154,0.299
224,0.0346,0.1628,0.153,0.299
225,0.0368,0.1629,0.157,0.298
226,0.0356,0.1639,0.155,0.298
227,0.0365,0.1634,0.155,0.299
228,0.0373,0.1652,0.157,0.3
229,0.0359,0.1656,0.156,0.301
230,0.0347,0.1641,0.152,0.298
231,0.0365,0.1686,0.156,0.305
232,0.0353,0.1649,0.154,0.3
233,0.0355,0.1647,0.154,0.299
234,0.0355,0.1676,0.155,0.303
235,0.0331,0.1636,0.149,0.298
236,0.0368,0.1695,0.157,0.305
237,0.0378,0.1666,0.16,0.302
238,0.0371,0.1718,0.157,0.307
239,0.0355,0.1669,0.154,0.301
240,0.0344,0.1656,0.152,0.302
241,0.0318,0.1664,0.146,0.302
